bitcoin_close_topo_avg_hole_lifetime_1_x,bitcoin_close_topo_num_relevant_holes_1_x,bitcoin_close_topo_l1_norm_1_x,bitcoin_close_topo_l2_norm_1_x,signal
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,-0.09281505112709759,-0.0,-0.0,0.0
-0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
-0.0,-0.09281505112709759,-0.0,-0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,-0.09281505112709759,-0.0,-0.0,0.0
-0.0,-0.09281505112709759,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.19828670013516306,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,0.012656597880967851,0.0,0.0,-0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,-0.09281505112709759,0.0,-0.0,0.0
-0.0,-0.09281505112709759,0.0,0.0,0.0
-0.0,-0.09281505112709759,0.0,0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
-0.0,0.012656597880967851,-0.0,-0.0,0.0
0.0,0.012656597880967851,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
0.0,-0.09281505112709759,0.0,0.0,0.0
